,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
40,Students be new to the school,the school be new to Students,True,Students,be new to,the school,NaN,be new to@R@,NaN
78,Autistic children be puzzled by faces,faces perplex Autistic children,True,Autistic children,be puzzled by,faces,NaN,perplex@R@,NaN
101,COMMENT contain embedded spaces,spaces be embedded within COMMENT,True,COMMENT,contain embedded,spaces,NaN,be embedded within@R@,NaN
122,The EPA regulate tap water,tap water be regulated under The EPA,True,The EPA,regulate,tap water,NaN,be regulated under@R@,NaN
174,your account be sold to a third party,a third party take over your account,True,your account,be sold to,a third party,NaN,take over@R@,NaN
195,The House vote on the report,the report be introduced in The House,True,The House,vote on,the report,NaN,be introduced in@R@,NaN
245,The Supreme Court permit the defendant,the defendant be allowed in The Supreme Court,True,The Supreme Court,permit,the defendant,NaN,be allowed in@R@,NaN
362,David worship Allah,Allah be worshipped by David,True,David,worship,Allah,NaN,be worshipped by@R@,NaN
392,our education be all affected by the quality and availability of transportation,the quality and availability of transportation continue to affect our education,True,our education,be all affected by,the quality and availability of transportation,NaN,continue to affect@R@,NaN
498,Cheney order the leak,the leak be ordered by Cheney,True,Cheney,order,the leak,NaN,be ordered by@R@,NaN
628,Gothic 3 be comparable to Oblivion,Oblivion be comparable to Gothic 3,True,Gothic 3,be comparable to,Oblivion,NaN,be comparable to@R@,NaN
711,Cum shoot all over his chest,his chest be slick with Cum,True,Cum,shoot all over,his chest,NaN,be slick with@R@,NaN
722,The artist be the creator of beautiful things,beautiful things be the creation of The artist,True,The artist,be the creator of,beautiful things,NaN,be the creation of@R@,NaN
774,harmful greenhouse gas emissions blame for global warming,global warming be linked to harmful greenhouse gas emissions,True,harmful greenhouse gas emissions,blame for,global warming,NaN,be linked to@R@,NaN
785,her hair cover her face,her face be covered by her hair,True,her hair,cover,her face,NaN,be covered by@R@,NaN
798,A 2.0 be equivalent to a C average,a C average be equivalent to A 2.0,True,A 2.0,be equivalent to,a C average,NaN,be equivalent to@R@,NaN
815,The republic be hijacked by Forces,Forces try to take over The republic,True,The republic,be hijacked by,Forces,NaN,try to take over@R@,NaN
822,your life be safe with God,God be dedicated to protect your life,True,your life,be safe with,God,NaN,be dedicated to protect@R@,NaN
825,Many people be attracted to Florida,Florida attract Many people,True,Many people,be attracted to,Florida,NaN,attract@R@,NaN
844,Torture be the polar opposite of freedom,freedom be the opposite of Torture,True,Torture,be the polar opposite of,freedom,NaN,be the opposite of@R@,NaN
863,the Trial Court dismiss his cause of action,his cause of action be brought before the Trial Court,True,the Trial Court,dismiss,his cause of action,NaN,be brought before@R@,NaN
877,San Angelo be home to Angelo State University,Angelo State University make their home in San Angelo,True,San Angelo,be home to,Angelo State University,NaN,make their home in@R@,NaN
953,NEC govern equipment,equipment be regulated by NEC,True,NEC,govern,equipment,NaN,be regulated by@R@,NaN
1000,Microsoft own the desktop,the desktop be owned by Microsoft,True,Microsoft,own,the desktop,NaN,be owned by@R@,NaN
1008,These clips be all included in the video,the video inclusive of These clips,True,These clips,be all included in,the video,NaN,inclusive of@R@,NaN
1057,Georgia take control of the SEC East,the SEC East be taken over by Georgia,True,Georgia,take control of,the SEC East,NaN,be taken over by@R@,NaN
1060,fee charge to a borrower,a borrower incur fee,True,fee,charge to,a borrower,NaN,incur@R@,NaN
1079,Christians be persecuted in this country,this country persecute Christians,True,Christians,be persecuted in,this country,NaN,persecute@R@,NaN
1084,San Angelo be home to Angelo State University,Angelo State University locate in San Angelo,True,San Angelo,be home to,Angelo State University,NaN,locate in@R@,NaN
1098,donations qualify for tax deductions,tax deductions be available to donations,True,donations,qualify for,tax deductions,NaN,be available to@R@,NaN
1134,Congress pass the Illegal Immigration Reform and Immigrant Responsibility Act,the Illegal Immigration Reform and Immigrant Responsibility Act be passed by Congress,True,Congress,pass,the Illegal Immigration Reform and Immigrant Responsibility Act,NaN,be passed by@R@,NaN
1146,The book contain checklists,checklists be present in The book,True,The book,contain,checklists,NaN,be present in@R@,NaN
1206,Obama sign a stimulus package,a stimulus package be signed by Obama,True,Obama,sign,a stimulus package,NaN,be signed by@R@,NaN
1316,a certificate be awarded to the winner,the winner be awarded with a certificate,True,a certificate,be awarded to,the winner,NaN,be awarded with@R@,NaN
1332,Our business depend on your satisfaction,your satisfaction be best for Our business,True,Our business,depend on,your satisfaction,NaN,be best for@R@,NaN
1337,student be new to computers,computers be new to student,True,student,be new to,computers,NaN,be new to@R@,NaN
1399,the islands be the cause of many shipwrecks,many shipwrecks be due to the islands,True,the islands,be the cause of,many shipwrecks,NaN,be due to@R@,NaN
1416,the parties abandon the transaction,the transaction be abandoned by the parties,True,the parties,abandon,the transaction,NaN,be abandoned by@R@,NaN
1419,Readers appreciate Holly,Holly mean a lot to Readers,True,Readers,appreciate,Holly,NaN,mean a lot to@R@,NaN
1451,Customers appreciate the suggestion,the suggestion mean a lot to Customers,True,Customers,appreciate,the suggestion,NaN,mean a lot to@R@,NaN
1480,The lounge be open for lunch and dinner,lunch and dinner be served at The lounge,True,The lounge,be open for,lunch and dinner,NaN,be served at@R@,NaN
1541,the algae provide food for the coral,the coral eat the algae,True,the algae,provide food for,the coral,NaN,eat@R@,NaN
1584,genetic counseling be advised for couples,couples be advised to take genetic counseling,True,genetic counseling,be advised for,couples,NaN,be advised to take@R@,NaN
1658,Students answer questions,questions be answered by Students,True,Students,answer,questions,NaN,be answered by@R@,NaN
1707,The kennel be connected to the house,the house connect to The kennel,True,The kennel,be connected to,the house,NaN,connect to@R@,NaN
1722,islet cells produce insulin,insulin be produced by islet cells,True,islet cells,produce,insulin,NaN,be produced by@R@,NaN
1724,the articles present within this page,this page contain all of the articles,True,the articles,present within,this page,NaN,contain all of@R@,NaN
1728,the Greater Yellowstone Area be impacted by brucellosis,brucellosis affect all of the Greater Yellowstone Area,True,the Greater Yellowstone Area,be impacted by,brucellosis,NaN,affect all of@R@,NaN
1735,various things have a special meaning to him,him be moved by various things,True,various things,have a special meaning to,him,NaN,be moved by@R@,NaN
1808,God be the author of sin,sin be written by God,True,God,be the author of,sin,NaN,be written by@R@,NaN
1838,This game develop eye-hand coordination,eye-hand coordination be developed by This game,True,This game,develop,eye-hand coordination,NaN,be developed by@R@,NaN
1847,the winds spread fires,fires be spread by the winds,True,the winds,spread,fires,NaN,be spread by@R@,NaN
1882,the machine be connected to a local network,a local network be attached to the machine,True,the machine,be connected to,a local network,NaN,be attached to@R@,NaN
1921,the religious right demonize homosexuals,homosexuals be hated by the religious right,True,the religious right,demonize,homosexuals,NaN,be hated by@R@,NaN
2035,His name be engraved on the village War Memorial,the village War Memorial be engraved with His name,True,His name,be engraved on,the village War Memorial,NaN,be engraved with@R@,NaN
2203,our education be all affected by the quality and availability of transportation,the quality and availability of transportation affect each of our education,True,our education,be all affected by,the quality and availability of transportation,NaN,affect each of@R@,NaN
2209,this guy own the domain,the domain belong to this guy,True,this guy,own,the domain,NaN,belong to@R@,NaN
2213,most people adopt the little ones,the little ones be adopted by most people,True,most people,adopt,the little ones,NaN,be adopted by@R@,NaN
2244,Dad end up marry Mom,Mom want to marry Dad,True,Dad,end up marry,Mom,NaN,want to marry@R@,NaN
2281,God be the source of perfect love,perfect love flow from God,True,God,be the source of,perfect love,NaN,flow from@R@,NaN
2384,things be fine with the lady,the lady be ok with things,True,things,be fine with,the lady,NaN,be ok with@R@,NaN
2516,Microsoft own the desktop,the desktop be sold to Microsoft,False,Microsoft,own,the desktop,NaN,be sold to@R@,NaN
2517,issues affect the health of the public,the public be more susceptible to issues,False,issues,affect the health of,the public,NaN,be more susceptible to@R@,NaN
2551,The plan be to make flowers,flowers be to make The plan,False,The plan,be to make,flowers,NaN,be to make@R@,NaN
2567,the comparable properties portray the subject property,the subject property be televised live on the comparable properties,False,the comparable properties,portray,the subject property,NaN,be televised live on@R@,NaN
2577,His lips brush her shoulder,her shoulder want His lips,False,His lips,brush,her shoulder,NaN,want@R@,NaN
2622,the scope be worth more than the rifle,the rifle be more valuable than the scope,False,the scope,be worth more than,the rifle,NaN,be more valuable than@R@,NaN
2662,a thought seem to occur to him,him have no interest in a thought,False,a thought,seem to occur to,him,NaN,have no interest in@R@,NaN
2667,the believer have peace with God,God punish the believer,False,the believer,have peace with,God,NaN,punish@R@,NaN
2693,Jesus command the wind,the wind cry out to Jesus,False,Jesus,command,the wind,NaN,cry out to@R@,NaN
2726,The claimant fail to file a motion,a motion be filed by The claimant,False,The claimant,fail to file,a motion,NaN,be filed by@R@,NaN
2736,Leif grow up with his family,his family be best for Leif,False,Leif,grow up with,his family,NaN,be best for@R@,NaN
2744,Bulgaria pass to Byzantine rule,Byzantine rule pass to Bulgaria,False,Bulgaria,pass to,Byzantine rule,NaN,pass to@R@,NaN
2809,The reader travel with Ben,Ben train The reader,False,The reader,travel with,Ben,NaN,train@R@,NaN
2832,Gibson agree with him,him disagree with Gibson,False,Gibson,agree with,him,NaN,disagree with@R@,NaN
2842,Donna kick Julie,Julie co-stars Donna,False,Donna,kick,Julie,NaN,co-stars@R@,NaN
2956,Critics have a field day with this one,this one be an attempt by Critics,False,Critics,have a field day with,this one,NaN,be an attempt by@R@,NaN
2974,Michelle Obama step in for her husband,her husband play behind Michelle Obama,False,Michelle Obama,step in for,her husband,NaN,play behind@R@,NaN
2986,The historian deceive the reader,the reader deceive The historian,False,The historian,deceive,the reader,NaN,deceive@R@,NaN
3021,The New Yorker endorse Barack Obama,Barack Obama run against The New Yorker,False,The New Yorker,endorse,Barack Obama,NaN,run against@R@,NaN
3025,The administration be notified of this problem,this problem be mailed to The administration,False,The administration,be notified of,this problem,NaN,be mailed to@R@,NaN
3035,The visitor choose one of the doors,the doors guide The visitor,False,The visitor,choose one of,the doors,NaN,guide@R@,NaN
3064,Africa have no access to electricity,electricity be in Africa,False,Africa,have no access to,electricity,NaN,be in@R@,NaN
3069,The monarch grant a dissolution,a dissolution be liable to The monarch,False,The monarch,grant,a dissolution,NaN,be liable to@R@,NaN
3109,optimization be more important than design,design be more important than optimization,False,optimization,be more important than,design,NaN,be more important than@R@,NaN
3149,width remain the same,the same be said for width,False,width,remain,the same,NaN,be said for@R@,NaN
3179,these people pray to our God,our God have mercy on these people,False,these people,pray to,our God,NaN,have mercy on@R@,NaN
3224,Consumer have several problem with transmission,transmission make little sense to Consumer,False,Consumer,have several problem with,transmission,NaN,make little sense to@R@,NaN
3241,Blair hold talk with Mubarak,Mubarak shake hand with Blair,False,Blair,hold talk with,Mubarak,NaN,shake hand with@R@,NaN
3284,France draw with South Korea,South Korea lose 1-0 to France,False,France,draw with,South Korea,NaN,lose 1-0 to@R@,NaN
3308,The laser work based on pulses,pulses work based on The laser,False,The laser,work based on,pulses,NaN,work based on@R@,NaN
3322,Josiah punch him,him whip Josiah,False,Josiah,punch,him,NaN,whip@R@,NaN
3376,My best friend cheat on his girlfriend,his girlfriend break up with My best friend,False,My best friend,cheat on,his girlfriend,NaN,break up with@R@,NaN
3382,Odysseus trick him,him be seduced by Odysseus,False,Odysseus,trick,him,NaN,be seduced by@R@,NaN
3398,"any form of electronic , verbal , or written communication send to the Licensor","the Licensor send any form of electronic , verbal , or written communication",False,"any form of electronic , verbal , or written communication",send to,the Licensor,NaN,send@R@,NaN
3419,the chief warn him,him accuse the chief,False,the chief,warn,him,NaN,accuse@R@,NaN
3455,his drugs incapacitate him,him be cured of his drugs,False,his drugs,incapacitate,him,NaN,be cured of@R@,NaN
3459,America lose the war on terror,terror be tolerated in America,False,America,lose the war on,terror,NaN,be tolerated in@R@,NaN
3520,The House vote on the report,the report be approved by The House,False,The House,vote on,the report,NaN,be approved by@R@,NaN
3568,Zambia be a country in southern Africa,southern Africa be a region of Zambia,False,Zambia,be a country in,southern Africa,NaN,be a region of@R@,NaN
3593,Chris want to marry May,May agree to marry Chris,False,Chris,want to marry,May,NaN,agree to marry@R@,NaN
3628,His only goal be the accumulation of power,power prevent the formation of His only goal,False,His only goal,be the accumulation of,power,NaN,prevent the formation of@R@,NaN
3678,God dwell among men,men pray to God,False,God,dwell among,men,NaN,pray to@R@,NaN
3705,Jr. get word to Washington,Washington cover up for Jr.,False,Jr.,get word to,Washington,NaN,cover up for@R@,NaN
3718,Investors be cheered by the banking sector,the banking sector gather to watch Investors,False,Investors,be cheered by,the banking sector,NaN,gather to watch@R@,NaN
3836,residents drop off recyclable materials,recyclable materials be necessary to residents,False,residents,drop off,recyclable materials,NaN,be necessary to@R@,NaN
3840,the membrane stretch between the fingers,the fingers tie a knot in the membrane,False,the membrane,stretch between,the fingers,NaN,tie a knot in@R@,NaN
3985,individuals be new to Linux,Linux be the place for individuals,False,individuals,be new to,Linux,NaN,be the place for@R@,NaN
4017,Obama do something about health care costs,health care costs make sense for Obama,False,Obama,do something about,health care costs,NaN,make sense for@R@,NaN
4134,Yang long to see Lau,Lau be everything to Yang,False,Yang,long to see,Lau,NaN,be everything to@R@,NaN
4223,the believer have peace with God,God sign a peace treaty with the believer,False,the believer,have peace with,God,NaN,sign a peace treaty with@R@,NaN
4226,plague be imposed upon society,society be relieved of plague,False,plague,be imposed upon,society,NaN,be relieved of@R@,NaN
4256,All our family join with him,him teach All our family,False,All our family,join with,him,NaN,teach@R@,NaN
4264,this one come with a disclaimer,a disclaimer save this one,False,this one,come with,a disclaimer,NaN,save@R@,NaN
4315,the members spend lot of time and efforts,time and efforts run out for the members,False,the members,spend lot of,time and efforts,NaN,run out for@R@,NaN
4318,Crew be distinguished from cast,cast be confused with Crew,False,Crew,be distinguished from,cast,NaN,be confused with@R@,NaN
4377,various things have a special meaning to him,him guess the name of various things,False,various things,have a special meaning to,him,NaN,guess the name of@R@,NaN
4511,Video games have an advantage over classes,classes have an edge over Video games,False,Video games,have an advantage over,classes,NaN,have an edge over@R@,NaN
4517,Our lives be held hostage by Our failures,Our failures hide among Our lives,False,Our lives,be held hostage by,Our failures,NaN,hide among@R@,NaN
4522,Hopelessness be related to depression,depression be more genuine than Hopelessness,False,Hopelessness,be related to,depression,NaN,be more genuine than@R@,NaN
4561,Mumm-Ra await Drag-Ron,Drag-Ron bring Mumm-Ra,False,Mumm-Ra,await,Drag-Ron,NaN,bring@R@,NaN
4603,the results be the best part of the job,the job be the same without the results,False,the results,be the best part of,the job,NaN,be the same without@R@,NaN
4625,farmers be put off the land,the land mean many thing to farmers,False,farmers,be put off,the land,NaN,mean many thing to@R@,NaN
4626,Lisa look over at Brad,Brad sit beside Lisa,False,Lisa,look over at,Brad,NaN,sit beside@R@,NaN
4641,many people search for a physician,a physician look for many people,False,many people,search for,a physician,NaN,look for@R@,NaN
4740,Owner agree to notify Marina,Marina be liable to Owner,False,Owner,agree to notify,Marina,NaN,be liable to@R@,NaN
4752,The claimant fail to file a motion,a motion be signed by The claimant,False,The claimant,fail to file,a motion,NaN,be signed by@R@,NaN
4787,the partnership have many benefit for both companies,both companies do some form of the partnership,False,the partnership,have many benefit for,both companies,NaN,do some form of@R@,NaN
4791,Members be advised to review the rules,the rules be designed to assist Members,False,Members,be advised to review,the rules,NaN,be designed to assist@R@,NaN
4808,Caroline tease him,him restrain Caroline,False,Caroline,tease,him,NaN,restrain@R@,NaN
4907,the women smile upon him,him tempt the women,False,the women,smile upon,him,NaN,tempt@R@,NaN
4914,God appear to Cornelius,Cornelius pray to God,False,God,appear to,Cornelius,NaN,pray to@R@,NaN
4970,the social worker help rescue him,him be aboard the social worker,False,the social worker,help rescue,him,NaN,be aboard@R@,NaN
5035,Jane join her sister,her sister talk to Jane,False,Jane,join,her sister,NaN,talk to@R@,NaN
5104,The Supreme Court permit the defendant,the defendant be remanded in The Supreme Court,False,The Supreme Court,permit,the defendant,NaN,be remanded in@R@,NaN
5163,The colonists want to be free from England,England begin to overwhelm The colonists,False,The colonists,want to be free from,England,NaN,begin to overwhelm@R@,NaN
5219,This Website have link to other sites,other sites list This Website,False,This Website,have link to,other sites,NaN,list@R@,NaN
5234,things be fine with the lady,the lady believe things,False,things,be fine with,the lady,NaN,believe@R@,NaN
5316,America feel safer with the Patriot Act,the Patriot Act be unpopular with America,False,America,feel safer with,the Patriot Act,NaN,be unpopular with@R@,NaN
5327,the Jews kill him,him kill the Jews,False,the Jews,kill,him,NaN,kill@R@,NaN
5358,Thailand depend on exports,exports have nothing to do with Thailand,False,Thailand,depend on,exports,NaN,have nothing to do with@R@,NaN
5458,Gothic 3 be comparable to Oblivion,Oblivion set Gothic 3,False,Gothic 3,be comparable to,Oblivion,NaN,set@R@,NaN
5463,your life be safe with God,God come get your life,False,your life,be safe with,God,NaN,come get@R@,NaN
5524,Obama do something about health care costs,health care costs be harder for Obama,False,Obama,do something about,health care costs,NaN,be harder for@R@,NaN
5555,those users purchase online,online be owned by those users,False,those users,purchase,online,NaN,be owned by@R@,NaN
5556,NOT take on more debt,more debt take on NOT,False,NOT,take on,more debt,NaN,take on@R@,NaN
5563,formats be used by other systems,other systems diese formats,False,formats,be used by,other systems,NaN,diese@R@,NaN
5589,Clinton take a flight to the Middle East,the Middle East be the capital city of Clinton,False,Clinton,take a flight to,the Middle East,NaN,be the capital city of@R@,NaN
5599,The clock strike nine,nine be hit by The clock,False,The clock,strike,nine,NaN,be hit by@R@,NaN
5601,the hair be blended into your own hair,your own hair fold in the hair,False,the hair,be blended into,your own hair,NaN,fold in@R@,NaN
5642,The guys tease their fans,their fans sell before The guys,False,The guys,tease,their fans,NaN,sell before@R@,NaN
5656,Drinks be though expensive,expensive be besides Drinks,False,Drinks,be though,expensive,NaN,be besides@R@,NaN
5675,the hair be blended into your own hair,your own hair add a small amount of the hair,False,the hair,be blended into,your own hair,NaN,add a small amount of@R@,NaN
5681,your kids be out in the sun,the sun have bathroom with your kids,False,your kids,be out in,the sun,NaN,have bathroom with@R@,NaN
5703,fish kill over the winter,the winter be killed in fish,False,fish,kill over,the winter,NaN,be killed in@R@,NaN
5754,methods gain from experience,experience be a small city in methods,False,methods,gain from,experience,NaN,be a small city in@R@,NaN
5758,Japan urge S Korea,S Korea create for Japan,False,Japan,urge,S Korea,NaN,create for@R@,NaN
5777,these two energies be separate from each other,each other have bathroom with these two energies,False,these two energies,be separate from,each other,NaN,have bathroom with@R@,NaN
5783,Nothing great be achieved without enthusiasm,enthusiasm be a precondition for Nothing great,False,Nothing great,be achieved without,enthusiasm,NaN,be a precondition for@R@,NaN
5786,COMMENT contain embedded spaces,spaces embed in COMMENT,False,COMMENT,contain embedded,spaces,NaN,embed in@R@,NaN
5789,Some of them be generous of their time,their time have none of Some of them,False,Some of them,be generous of,their time,NaN,have none of@R@,NaN
5858,Lets start to push this body,this body be pushed by Lets,False,Lets,start to push,this body,NaN,be pushed by@R@,NaN
5864,His formative years be spent in London,London find your hotel in His formative years,False,His formative years,be spent in,London,NaN,find your hotel in@R@,NaN
5926,The characters be in on the joke,the joke be good to see The characters,False,The characters,be in on,the joke,NaN,be good to see@R@,NaN
5934,may god have mercy on your souls,your souls give thanks to may god,False,may god,have mercy on,your souls,NaN,give thanks to@R@,NaN
5947,This post be safe for Work,Work saute with This post,False,This post,be safe for,Work,NaN,saute with@R@,NaN
5989,Google be a play on the word googol,the word googol spell Google,False,Google,be a play on,the word googol,NaN,spell@R@,NaN
6038,the birds chat to one another,one another take pity on the birds,False,the birds,chat to,one another,NaN,take pity on@R@,NaN
6075,Reality be much for our minds,our minds do for Reality,False,Reality,be much for,our minds,NaN,do for@R@,NaN
6104,Gleneagles be the home of the Ryder Cup,the Ryder Cup see Gleneagles,False,Gleneagles,be the home of,the Ryder Cup,NaN,see@R@,NaN
6145,That` s for jack,jack ed That`,False,That`,s for,jack,NaN,ed@R@,NaN
6195,NOT want to let go of control,control wash over NOT,False,NOT,want to let go of,control,NaN,wash over@R@,NaN
6209,the Truth come from a book,a book take a 1-0 lead in the Truth,False,the Truth,come from,a book,NaN,take a 1-0 lead in@R@,NaN
6211,A set be identical to itself,itself be the same as A set,False,A set,be identical to,itself,NaN,be the same as@R@,NaN
6236,This picture be taken of the building,the building enjoy take This picture,False,This picture,be taken of,the building,NaN,enjoy take@R@,NaN
6247,plague be imposed upon society,society impose plague,False,plague,be imposed upon,society,NaN,impose@R@,NaN
6249,Abraham sign a letter of intention,intention be reached between Abraham,False,Abraham,sign a letter of,intention,NaN,be reached between@R@,NaN
6270,other countries become possible for the first time,the first time accomplish other countries,False,other countries,become possible for,the first time,NaN,accomplish@R@,NaN
6316,him provide further information on Muhammad 's life,Muhammad 's life be discussed within him,False,him,provide further information on,Muhammad 's life,NaN,be discussed within@R@,NaN
6329,the local Indians have no name for the mountain,the mountain depict the life of the local Indians,False,the local Indians,have no name for,the mountain,NaN,depict the life of@R@,NaN
6375,My heart go like a train,a train take some of My heart,False,My heart,go like,a train,NaN,take some of@R@,NaN
6398,The open space surround the buildings,the buildings be attacked by The open space,False,The open space,surround,the buildings,NaN,be attacked by@R@,NaN
6402,Her father sentence him,him be sentenced in Her father,False,Her father,sentence,him,NaN,be sentenced in@R@,NaN
6458,Brazil defeat poverty,poverty take a 1-0 lead in Brazil,False,Brazil,defeat,poverty,NaN,take a 1-0 lead in@R@,NaN
6485,the animals shout for joy,joy lean over to the animals,False,the animals,shout for,joy,NaN,lean over to@R@,NaN
6506,Use recommend lotion,lotion talk to Use,False,Use,recommend,lotion,NaN,talk to@R@,NaN
6508,the menu provide something for all tastes,all tastes have the right to live in the menu,False,the menu,provide something for,all tastes,NaN,have the right to live in@R@,NaN
6517,Directors welcome the authorities ' intentions,the authorities ' intentions please feel free to contact Directors,False,Directors,welcome,the authorities ' intentions,NaN,please feel free to contact@R@,NaN
